hwm_id,stateName,countyName,height_above_gnd,elev_ft,hwm_environment,latitude,longitude
33657,NC,Beaufort County,2.32,5.78,Riverine,35.448756,-76.609707
34089,NC,New Hanover County,1.95,5.78,Riverine,34.0533428,-77.884302
33912,NC,Pamlico County,0,5.76,Riverine,35.244442,-76.592008
33557,NC,Beaufort County,0.92,5.75,Riverine,35.53746,-76.62175
33913,NC,Pamlico County,0,5.69,Riverine,35.244304,-76.59192
33554,NC,Beaufort County,1.85,5.65,Riverine,35.541333,-76.624111
33704,NC,New Hanover County,0,5.65,Coastal,34.114009,-77.924904
34033,NC,New Hanover County,0,5.65,Riverine,34.050471,-77.918004
34111,NC,Onslow County,0,5.6,Riverine,34.656351,-77.350133
34869,NC,Beaufort County,0,5.51,Coastal,35.54,-76.62359
34007,NC,Pender County,0,5.47,Coastal,34.42081,-77.58411
34174,NC,New Hanover County,3.5,5.46,Riverine,34.213995,-77.947065
34004,NC,Pender County,0,5.44,Coastal,34.43528,-77.57399
34103,NC,New Hanover County,0,5.36,Riverine,33.9831455,-77.9196642
33604,NC,Carteret County,1.2,5.32,Coastal,34.797048,-76.456466
33620,NC,Carteret County,0,5.29,Coastal,34.70964,-76.631914
33622,NC,Carteret County,0,5.16,Coastal,34.717491,-76.670984
33647,NC,Onslow County,0,5.15,Coastal,34.57632,-77.396097
34137,SC,Georgetown County,0.94,5.07,Riverine,33.469,-79.138
33500,SC,Horry County,0,5.02,Coastal,33.6025,-78.9738888888889
34003,NC,Pender County,1.6,4.84,Coastal,34.44028,-77.54595
33498,SC,Horry County,0,4.83,Coastal,33.75861,-78.79278
33623,NC,Carteret County,0,4.74,Coastal,34.703854,-76.781326
34029,NC,Onslow County,0,4.68,Coastal,34.4842,-77.50149
34135,SC,Georgetown County,1.33,4.54,Riverine,33.436,-79.182
33984,NC,Onslow County,0,4.4,Coastal,34.51873,-77.39085
33986,NC,Onslow County,0,4.38,Coastal,34.49441,-77.46524
33619,NC,Carteret County,0,4.34,Coastal,34.722456,-76.575262
33501,SC,Horry County,0,4.26,Coastal,33.5797222222222,-79.0033333333333
33526,SC,Georgetown County,0,4.08,Coastal,33.5547222222222,-79.0341666666667
33497,SC,Horry County,0,3.84,Coastal,33.69972,-78.93694
